Document-feature matrix of: 168 documents, 6 features (78.77% sparse) and 6 docvars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                        features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
docs,Sum of features,asylbewerberinnen,asylbewerber,asyl,aufnahmezentrum,auffanglager,aufnahmezentren, deportation,deportationen, ausweisung, abschiebung, abschiebungen, kolonialismus, ausweisungen, ausweisen,deportiert,abschiebung,abschieben,deportierte, pull-faktor, fluchtursachen, emigranten,fluchtursache, push-faktoren, auswanderer, migrationsdruck, pull-faktoren, ausgebürgert, ausgewandert,ausländerbehörde, verwiesen, ausgewiesen,ausländeramt, ausbürgern, zuzug,einwanderung, einwanderer, migrationshintergrund, zuwanderung, zuwanderer, einwanderungen, immigration, einwanderin, migranten, flüchtlingskrise, migrationspolitik,migrationskrise, islamophobie, islamfeindlichkeit, wanderarbeiter, flüchtlingsströme, empfängerländer, migrationsströme, nationalismus, neubürger, aufnahmeländer, neubürgerinnen, aufnahmestaaten, multikulturalismus, aufenthaltserlaubnis, transitländer, transitstaaten, flüchtlingsboote, aufenthaltsgenehmigung, flüchtlingsboot, flüchtlinge, geflüchteten, rassismus, flüchtling, rassisten, geflüchtete, rassist, schwarzfahrer, rückführung
  CPP-BT_Bundestag_Plenarprotokoll_18_123_2015-09-23.txt,27,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_124_2015-09-24.txt,176,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,5,0,0,0,0,3,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,100,1,1,3,0,0,0,0,1
  CPP-BT_Bundestag_Plenarprotokoll_18_125_2015-09-25.txt,78,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,9,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_126_2015-09-30.txt,72,0,11,4,0,0,0,0,0,0,9,2,0,0,0,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,32,0,0,0,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_127_2015-10-01.txt,167,0,9,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,3,0,0,0,0,7,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93,2,3,7,0,1,0,0,2
  CPP-BT_Bundestag_Plenarprotokoll_18_128_2015-10-02.txt,83,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,15,2,0,1,5,0,0,1
  CPP-BT_Bundestag_Plenarprotokoll_18_129_2015-10-14.txt,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_130_2015-10-15.txt,312,4,10,21,0,0,0,0,0,0,9,9,0,0,0,0,9,0,0,0,25,0,2,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,4,0,0,0,0,1,15,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,152,14,2,7,0,11,0,0,3
  CPP-BT_Bundestag_Plenarprotokoll_18_131_2015-10-16.txt,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_132_2015-11-04.txt,49,0,1,1,0,0,0,0,0,2,5,9,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0,0,5
